"","id","osm_id","pct_census"
"2718",2718,"125100270",0
"2719",2719,"125100271",0
"2720",2720,"125100273",0
"2721",2721,"125100278",0
"2722",2722,"125100281",0
"2723",2723,"125100282",0
"2724",2724,"125100283",0
"2725",2725,"125175173",0
"2726",2726,"125421069",0
"2727",2727,"125505907",0
"2728",2728,"126108251",0
"2729",2729,"126121776",0
"2730",2730,"126246118",0
"2731",2731,"126246133",0
"2732",2732,"126246136",0
"2733",2733,"126246155",0
"2734",2734,"126289940",0
"2735",2735,"126289945",0
"2736",2736,"126289946",0
"2737",2737,"126289947",0
"2738",2738,"126289954",0
"2739",2739,"126289955",0
"2740",2740,"126289956",0
"2741",2741,"126289957",0
"2742",2742,"126289958",0
"2743",2743,"126289959",0
"2744",2744,"126289965",0
"2745",2745,"126289966",0
"2746",2746,"126289973",0
"2747",2747,"126289975",0
"2748",2748,"126289976",0
"2749",2749,"126289979",0
"2750",2750,"126290057",0
"2751",2751,"126290287",0
"2752",2752,"126290291",0
"2753",2753,"126290292",0
"2754",2754,"126358285",0
"2755",2755,"126358293",0
"2756",2756,"126358294",254
"2757",2757,"126358295",0
"2758",2758,"126358296",0
"2759",2759,"126358301",0
"2760",2760,"126358303",0
"2761",2761,"126358304",0
"2762",2762,"126619714",0
"2763",2763,"126619727",0
"2764",2764,"126619732",0
"2765",2765,"126619742",0
"2766",2766,"126619744",288
"2767",2767,"126619747",0
"2768",2768,"126619751",0
"2769",2769,"126619753",0
"2770",2770,"126619762",0
"2771",2771,"126619763",0
"2772",2772,"126619771",0
"2773",2773,"126619774",0
"2774",2774,"126619775",0
"2775",2775,"126619780",0
"2776",2776,"126619785",0
"2777",2777,"126619786",0
"2778",2778,"126619791",0
"2779",2779,"126619797",0
"2780",2780,"126619799",0
"2781",2781,"126619801",0
"2782",2782,"126619802",0
"2783",2783,"126619803",0
"2784",2784,"126619805",0
"2785",2785,"126619807",0
"2786",2786,"126619809",0
"2787",2787,"126929848",0
"2788",2788,"126929853",0
"2789",2789,"126929854",0
"2790",2790,"126946535",0
"2791",2791,"126946542",0
"2792",2792,"126946546",0
"2793",2793,"126946549",0
"2794",2794,"126946551",0
"2795",2795,"126946562",0
"2796",2796,"126946563",0
"2797",2797,"126946570",0
"2798",2798,"126946584",0
"2799",2799,"126946589",0
"2800",2800,"126946594",0
"2801",2801,"126946595",576
"2802",2802,"126946622",0
"2803",2803,"126946629",0
"2804",2804,"126946635",0
"2805",2805,"126946646",190
"2806",2806,"126946647",0
"2807",2807,"126946656",0
"2808",2808,"126946660",0
"2809",2809,"126946663",0
"2810",2810,"126946669",0
"2811",2811,"126946670",0
"2812",2812,"126946677",0
"2813",2813,"126946678",0
"2814",2814,"126946683",0
