"","id","osm_id","name","bicycle","cyclestreets_id","cycleway","cycleway.left","cycleway.left.width","cycleway.oneside.width","cycleway.otherside","cycleway.otherside.width","cycleway.right","cycleway.right.width","designation","foot","footway","highway","junction","maxspeed"
"21593",21593,"165737370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21594",21594,"165737372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21595",21595,"165737372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21596",21596,"165737372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21597",21597,"165737372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21598",21598,"165737381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21599",21599,"165737381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"footway",NA,NA
"21600",21600,"165746378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21601",21601,"165746378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21602",21602,"165746378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21603",21603,"165746380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21604",21604,"165746380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21605",21605,"165746380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21606",21606,"165746381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21607",21607,"165746381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21608",21608,"165746381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21609",21609,"166139218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21610",21610,"166139218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21611",21611,"166139218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21612",21612,"166139218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21613",21613,"166139218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21614",21614,"166139242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21615",21615,"166139242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21616",21616,"166139242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21617",21617,"166139260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21618",21618,"166139260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA
"21619",21619,"166139269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steps",NA,NA
"21620",21620,"166139269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steps",NA,NA
"21621",21621,"166139280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21622",21622,"166139280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21623",21623,"166139290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21624",21624,"166139290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21625",21625,"166139290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21626",21626,"166139291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21627",21627,"166139291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21628",21628,"166139292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21629",21629,"166139292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21630",21630,"166139292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21631",21631,"166139293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21632",21632,"166139293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21633",21633,"166139293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21634",21634,"166139304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21635",21635,"166139304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21636",21636,"166139304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21637",21637,"166139305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steps",NA,NA
"21638",21638,"166139305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steps",NA,NA
"21639",21639,"166156122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21640",21640,"166156122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21641",21641,"166156145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
"21642",21642,"166156145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"footway",NA,NA
